Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 523.0, 8.308204270637361, 19.92, 0.0
2.0, 558.0, 8.622905514130252, 19.92, 0.0
3.0, 511.0, 8.154547468875535, 20.16, 0.0
4.0, 493.0, 7.2710886162822135, 17.44, 0.0
