Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 41.0, 0.014882431452861056, 45.283, 9.0
2.0, 44.0, 0.01418570383975748, 35.185, 13.0
3.0, 41.0, 0.014160006860038266, 33.962, 9.0
4.0, 39.0, 0.013464733812725171, 37.037, 16.0
