Fold, No hyperboxes, Training time, Testing error
1.0, 746.0, 2.2773063162749168, 10.628
2.0, 750.0, 1.8525274436397012, 11.125
3.0, 760.0, 2.194400579101057, 11.622
4.0, 752.0, 1.9084377737890463, 10.386
