Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 12.0, 0.0277314073900925, 64.151, 0.0
2.0, 13.0, 0.023172859713668004, 51.852, 0.0
3.0, 15.0, 0.029912741782027297, 49.057, 0.0
4.0, 12.0, 0.030218196465284564, 38.889, 1.0
