Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 10.0, 0.011419157061027363, 41.379, 0.0
2.0, 12.0, 0.011631520799710415, 27.586, 0.0
3.0, 13.0, 0.011691642022924498, 27.586, 0.0
4.0, 13.0, 0.013895279451389797, 41.379, 0.0
