Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 90.0, 0.02080146463413257, 31.579, 1.0458632949594175, teta = 0.15
2, 45.0, 0.0327723795271595, 28.571, 1.0373803817565204, teta = 0.65
3, 41.0, 0.028161468195321504, 28.947, 1.022409222990973, teta = 0.55
4, 41.0, 0.029121468665834982, 25.974, 1.0572553004822112, teta = 0.55
