Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 959.0, 0.13358309507059118, 41.667, 4.365764540976748, teta = 0.05
2, 561.0, 0.17252614425507318, 42.432, 4.738984600719789, teta = 0.1
3, 555.0, 0.16856299081837278, 44.205, 4.75532448743013, teta = 0.1
4, 562.0, 0.17909245046894284, 40.701, 5.124013635885376, teta = 0.1
