Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 758.0, 3.859150962012791, 17.2, 134.20918991960752, teta = 0.35
2, 580.0, 5.4330610584529495, 20.4, 130.66397753405, teta = 0.45
3, 649.0, 4.92893378372537, 18.72, 128.83847313380465, teta = 0.4
4, 763.0, 4.10123932181159, 18.48, 133.34255725699768, teta = 0.35
