Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 110.0, 0.30946730155847035, 3.874, 18.453660826016858, teta = 0.4
2, 123.0, 0.3194522760968539, 3.436, 18.34065568031656, teta = 0.35
3, 89.0, 0.3068922700113035, 4.237, 18.17732857082592, teta = 0.8
4, 93.0, 0.29416353656415595, 4.167, 18.527008255514374, teta = 0.8
