Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 460.0, 0.36241278177590175, 2.6, 12.173943841912205, teta = 0.15
2, 1171.0, 0.37391048432027674, 3.633, 10.516086068405457, teta = 0.05
3, 1174.0, 0.3648481768959755, 4.325, 10.299620508906628, teta = 0.05
4, 327.0, 0.3010207520101176, 4.159, 10.43391390735269, teta = 0.2
