Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 4820.0, 5.833725010292255, 8.639, 664.160233289811, teta = 0.05
2, 4821.0, 5.872340786583663, 7.769, 678.4646251949671, teta = 0.05
3, 4817.0, 6.330235311630531, 10.006, 667.1503384971365, teta = 0.05
4, 4818.0, 6.775894194375724, 7.96, 688.4197621429194, teta = 0.05
