Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 1281.0, 8.470957804100635, 1.733, 151.016449462521, teta = 0.05
2, 754.0, 9.044623536787185, 3.46, 143.23178047601505, teta = 0.2
3, 1271.0, 8.374676545297916, 2.422, 138.81149615102822, teta = 0.05
4, 1278.0, 8.344765742916024, 2.6, 141.53902135225235, teta = 0.05
