Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 55.0, 0.5119095815316541, 5.546, 46.0
2.0, 58.0, 0.5562906939594541, 6.055, 71.0
3.0, 49.0, 0.4425073660677299, 6.401, 47.0
4.0, 59.0, 0.5372463210951537, 7.626, 51.0
