Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 93.0, 0.11374211574729998, 17.91, 6.0
2.0, 96.0, 0.10082768525171559, 26.471, 3.0
3.0, 93.0, 0.09740950177365448, 28.358, 6.0
4.0, 91.0, 0.0882967700890731, 23.529, 5.0
