Fold, No hyperboxes before pruning, No hyperboxes after pruning, Training time, Testing error before pruning, Testing error after pruning
1.0, 28.0, 19.0, 3.0998109573265538, 72.076, 52.997
2.0, 27.0, 17.0, 2.9509585216874257, 79.167, 78.436
3.0, 33.0, 15.0, 2.6064337483840063, 79.912, 97.516
4.0, 26.0, 8.0, 2.2638609764399007, 79.386, 39.912
