Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.03987395872536581, 12.803, 2.814438213063113, max_depth = 9
2, 0.03319662215653807, 14.295, 2.5716157923016, max_depth = 8
3, 0.03317771305592032, 13.3, 2.79563674939709, max_depth = 8
4, 0.03129843941133004, 13.682, 2.666660202012281, max_depth = 7
