Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.00028751529316650704, 31.034, 0.025828376157733146, max_depth = 4
2, 0.0003864244354190305, 24.138, 0.026722437200078275, max_depth = 19
3, 0.0003020607546204701, 31.034, 0.026438800698088016, max_depth = 10
4, 0.0003612122964113951, 37.931, 0.02725140715483576, max_depth = 19
