Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.00036896987876389176, 21.925, 0.04673796205315739, max_depth = 4
2, 0.0003214547032257542, 21.39, 0.04650426497391891, max_depth = 3
3, 0.00037333351792767644, 20.321, 0.04777602315880358, max_depth = 4
4, 0.00041793960554059595, 22.46, 0.048009235397330485, max_depth = 4
