Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0014244855391325473, 42.742, 0.1718410530138499, max_depth = 6
2, 0.0012121217998810607, 40.541, 0.16374504908856125, max_depth = 5
3, 0.0012693339488123456, 41.24, 0.17934845059312465, max_depth = 5
4, 0.002690425546688857, 44.474, 0.17609317628762255, max_depth = 11
