Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0016901826311368495, 2.0, 0.09654841044539353, max_depth = 14
2, 0.0016669098986312747, 3.2, 0.09858865385467652, max_depth = 13
3, 0.0012955157799297012, 2.4, 0.09855277505266713, max_depth = 5
4, 0.0016533341331523843, 2.2, 0.09881604791007703, max_depth = 16
