Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 12.0, 0.012987157817406114, 31.034, 0.5226499503769446, teta = 0.6
2, 65.0, 0.02149188920884626, 17.241, 0.533652622376394, teta = 0.2
3, 12.0, 0.0116465510946, 44.828, 0.5301592873511254, teta = 0.75
4, 30.0, 0.020713222162157763, 34.483, 0.5347721380749135, teta = 0.4
