Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 9.0, 0.06061384757049382, 28.342, 3.8141414856363554, teta = 0.5
2, 35.0, 0.10758259761496447, 35.829, 3.5382247458037455, teta = 0.2
3, 52.0, 0.12941679001960438, 33.69, 3.456784706315375, teta = 0.15
4, 10.0, 0.06584924405615311, 33.69, 3.4829204765701434, teta = 0.45
