Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 1292.0, 44.17886748065939, 11.809, 321.71076446582447, teta = 0.15
2, 2804.0, 69.20631719093944, 11.436, 324.0036223047864, teta = 0.1
3, 1293.0, 40.45145137039799, 12.368, 293.9934259362053, teta = 0.15
4, 411.0, 14.203546280506998, 12.127, 327.51368218845164, teta = 0.25
