Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 407.0, 11.921004567760065, 17.84, 251.2077639795216, teta = 0.35
2, 399.0, 11.957842403802715, 18.08, 245.33639095097715, teta = 0.35
3, 401.0, 11.76088279315627, 19.28, 244.91196941186354, teta = 0.35
4, 400.0, 11.743419027112395, 16.8, 244.49495587634374, teta = 0.35
