Fold, No hyperboxes, Training time, Testing error
1.0, 59.0, 0.0621449998288881, 54.011
2.0, 66.0, 0.07064924636506476, 53.476
3.0, 64.0, 0.06708221434382722, 63.102
4.0, 59.0, 0.059497725815162994, 62.032
