Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0003684850235003978, 20.321, 0.10292174687492661, K = 11
2, 0.00028945469239261, 19.251, 0.10124901878589299, K = 13
3, 0.0003374547086423263, 18.717, 0.1533411652490031, K = 15
4, 0.0002918789250543341, 21.39, 0.1048999296472175, K = 13
