Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0005915154397371225, 1.4, 0.45082543070748216, K = 5
2, 0.000559030580916442, 1.6, 0.4490663995529758, K = 3
3, 0.0005920002877246588, 1.4, 0.45523561465961393, K = 6
4, 0.0006026669580023736, 1.0, 0.4541136747211567, K = 3
