Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.006887760915560648, 7.582, 10.982646779470087, K = 3
2, 0.009004125575302169, 8.08, 9.959767738066148, K = 3
3, 0.006848003315099049, 8.204, 11.000197333429242, K = 3
4, 0.0068130942090647295, 8.831, 10.204476220358629, K = 3
