Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.00022836374682810856, 26.415, 0.0644863342968165, K = 4
2, 0.00022836374682810856, 24.074, 0.06464584952482255, K = 5
3, 0.00022690920104651013, 30.189, 0.06402815225555969, K = 3
4, 0.00025212133459717734, 33.333, 0.0644320312403579, K = 3
