Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0002448486038701958, 17.91, 0.07293142930029717, K = 26
2, 0.00024290920919156633, 23.529, 0.07296197476989619, K = 5
3, 0.00024193951139750425, 14.925, 0.07387397521142702, K = 29
4, 0.00024048496561590582, 14.706, 0.07296391416366532, K = 26
