Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0028838801863457775, 14.72, 9.483975022532832, K = 30
2, 0.00292460747914447, 14.0, 9.554807541724585, K = 29
3, 0.0029372135431913193, 13.36, 9.353687444214302, K = 20
4, 0.0030288499547168612, 13.36, 9.361677751112438, K = 26
