Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.00022206072026165202, 25.0, 0.06214693922083825, K = 7
2, 0.00026278800214640796, 27.273, 0.062168272568669636, K = 7
3, 0.00022109101701062173, 23.684, 0.06286596987047233, K = 8
4, 0.0002230304162367247, 22.078, 0.06197724217054201, K = 7
