Fold, Training time, Testing error, Optimization time, Optimal param
1, 0.0007500609697217442, 37.903, 0.45782761591641474, K = 14
2, 0.0007747882544890672, 38.649, 0.4170455355372269, K = 14
3, 0.0009488489449722692, 38.814, 0.46837889375956365, K = 9
4, 0.0008513943523666967, 37.466, 0.4531095530228413, K = 6
