Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 46.0, 0.025557830565958284, 28.947, 15.0
2.0, 46.0, 0.027804134690086357, 33.766, 18.0
3.0, 47.0, 0.02523249707883224, 30.263, 15.0
4.0, 45.0, 0.024415042134933174, 27.273, 16.0
