Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 1218.0, 9.234768598676055, 1.56, 903.7158670137537, teta = 0.05; K = 2
2, 1218.0, 9.248619272058022, 2.422, 903.3542741111632, teta = 0.05; K = 2
3, 1210.0, 8.794186566878125, 2.422, 895.1119074481976, teta = 0.05; K = 2
4, 1199.0, 9.612959327495446, 2.6, 897.3201630643216, teta = 0.05; K = 3
