Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 4813.0, 7.370869513149955, 9.509, 4569.541160019959, teta = 0.05; K = 3
2, 4818.0, 6.207628221884079, 7.831, 4385.698081308161, teta = 0.05; K = 2
3, 4813.0, 7.716211256345559, 10.006, 4417.126426243114, teta = 0.05; K = 4
4, 4816.0, 6.93134978490707, 7.96, 4481.605287566199, teta = 0.05; K = 2
