Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 911.0, 36.549600266473135, 3.947, 1334.833273131284, teta = 0.05; K = 10
2, 1228.0, 42.366628541392856, 4.24, 1395.8669129051705, teta = 0.05; K = 3
3, 1211.0, 41.991601450470625, 4.821, 1397.0194254639573, teta = 0.05; K = 3
4, 1460.0, 49.11337750952225, 4.313, 1426.1735855387087, teta = 0.05; K = 2
