Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 79.0, 0.3411671957146609, 35.829, 49.996063513244735, teta = 0.15; K = 2
2, 9.0, 0.07294015657680575, 30.481, 50.49104508657183, teta = 0.55; K = 2
3, 106.0, 0.5145141888497164, 40.107, 51.327717007370666, teta = 0.1; K = 4
4, 10.0, 0.07216633802454453, 28.342, 51.90155874015181, teta = 0.55; K = 2
