Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 511.0, 5.620016300614225, 2.0, 363.39931122391135, teta = 0.15; K = 9
2, 843.0, 8.36966805801785, 2.2, 363.04823323550954, teta = 0.1; K = 6
3, 1355.0, 3.7787378321154392, 1.4, 367.66888517279585, teta = 0.05; K = 2
4, 523.0, 5.938330151919217, 1.6, 369.62141605886427, teta = 0.15; K = 9
