Fold, No hyperboxes, Training time, Testing error, Optimization time, Optimal param
1, 25.0, 0.05501917819492519, 31.579, 21.16852517262305, teta = 0.45; K = 2
2, 102.0, 0.18732372718659462, 36.364, 21.202857795324235, teta = 0.1; K = 2
3, 20.0, 0.06339445497724228, 36.842, 22.198843732767273, teta = 0.45; K = 3
4, 10.0, 0.03149092435342027, 24.675, 21.54821796277247, teta = 0.75; K = 2
