Fold, No hyperboxes, Training time, Testing error
1.0, 55.0, 0.5119095815316541, 10.745
2.0, 58.0, 0.5562906939594541, 15.571
3.0, 49.0, 0.4425073660677299, 12.111
4.0, 59.0, 0.5372463210951537, 14.038
