Fold, No hyperboxes, Training time, Testing error
1.0, 67.0, 2.140659462136682, 17.091
2.0, 67.0, 2.086589132886729, 20.323
3.0, 71.0, 2.4339158467482775, 19.391
4.0, 72.0, 2.2692670396500034, 18.781
