Fold, No hyperboxes, Training time, Testing error
1.0, 28.0, 0.01651346254220698, 34.483
2.0, 31.0, 0.017931645052158274, 13.793
3.0, 33.0, 0.016480977676110342, 24.138
4.0, 30.0, 0.01953213068190962, 34.483
