Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 46.0, 0.06728439625294413, 51.882, 309.0
2.0, 40.0, 0.07203445916820783, 51.892, 320.0
3.0, 39.0, 0.06967615500616375, 51.213, 303.0
4.0, 42.0, 0.06801651782006957, 55.795, 327.0
