Fold, No hyperboxes, Training time, Testing error
1.0, 131.0, 0.31654463832092006, 5.629
2.0, 140.0, 0.3378256183350459, 5.994
3.0, 132.0, 0.3244064603204606, 5.917
4.0, 126.0, 0.32467894529690966, 5.482
