Fold, No hyperboxes, Training time, Testing error
1.0, 952.0, 2.8948906157020247, 20.0
2.0, 956.0, 2.9455345190508524, 19.68
3.0, 967.0, 2.8641002977383323, 19.92
4.0, 961.0, 2.901319709737436, 18.8
