Fold, No hyperboxes, Training time, Testing error
1.0, 103.0, 0.01900606982235331, 39.474
2.0, 99.0, 0.020601222102413885, 33.766
3.0, 109.0, 0.019816252024611458, 38.158
4.0, 100.0, 0.019401221521547996, 32.468
