Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 2340.0, 33.37909109289467, 24.24, 0.0
2.0, 2324.0, 32.42966226892895, 20.32, 2.0
3.0, 2347.0, 31.561834454216296, 21.76, 3.0
4.0, 2346.0, 33.316583911073394, 22.48, 2.0
