Fold, No hyperboxes, Training time, Testing error
1.0, 67.0, 0.0754730062908493, 25.373
2.0, 70.0, 0.077116643456975, 29.412
3.0, 66.0, 0.07011494309699629, 26.866
4.0, 65.0, 0.07165239837195259, 26.471
