Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 2842.0, 4.0279272862680955, 10.814, 18.0
2.0, 2806.0, 3.7093860409077024, 10.566, 24.0
3.0, 2827.0, 3.6196623610449024, 11.436, 26.0
4.0, 2833.0, 3.9838361133733997, 10.386, 20.0
