Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 199.0, 0.016324371550581418, 17.91, 10.0
2.0, 199.0, 0.016145462373970076, 25.0, 3.0
3.0, 198.0, 0.01647079586109612, 28.358, 7.0
4.0, 200.0, 0.016906674864003435, 20.588, 8.0
