Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 118.0, 0.08601361745968461, 22.995, 54.0
2.0, 121.0, 0.057847785617923364, 25.668, 60.0
3.0, 126.0, 0.0508853579958668, 34.759, 63.0
4.0, 125.0, 0.052697237668326125, 24.064, 61.0
