Fold, No hyperboxes, Training time, Testing error, No samples in boundary
1.0, 563.0, 2.571180398153956, 40.591, 20.0
2.0, 561.0, 2.660037168490817, 42.973, 22.0
3.0, 556.0, 2.6702922037657117, 44.744, 21.0
4.0, 565.0, 2.756383881889633, 40.431, 23.0
