Fold, No hyperboxes before pruning, No hyperboxes after pruning, Training time, Testing error before pruning, Testing error after pruning
1.0, 28.0, 23.0, 2.8748566665453836, 72.076, 72.003
2.0, 27.0, 22.0, 2.9022947404300794, 79.459, 79.459
3.0, 33.0, 22.0, 2.595284167327918, 79.912, 79.839
4.0, 26.0, 22.0, 2.249652969534509, 79.386, 79.386
